序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
732,氟,,fluorine,7782-41-4,"氧化性气体,类别1 加压气体 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别1A 严重眼损伤/眼刺激,类别1",剧毒,100
733,"1-氟-2,4-二硝基苯","2,4-二硝基-1-氟苯","1-fluoro-2,4-dinitrobenzene;2,4-dinitr o-1-fluorobenzene",70-34-8,"皮肤腐蚀/刺激,类别2 皮肤致敏物,类别1",,100
734,2-氟苯胺,邻氟苯胺；邻氨基氟化苯,2-fluoroaniline;o-fluoroaniline;o-amin ofluorobenzene,348-54-9,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-长期危害,类别3",,100
735,3-氟苯胺,间氟苯胺；间氨基氟化苯,3-fluoroaniline;m-fluoro aniline;m-aminofluorobenzene,372-19-0,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-长期危害,类别3",,100
736,4-氟苯胺,对氟苯胺；对氨基氟化苯,4-fluoroaniline;p-fluoroaniline;p-amin ofluorobenzene,371-40-4,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-长期危害,类别3",,100
737,氟代苯,氟苯,phenyl fluoride;fluorobenzene,462-06-6,"易燃液体,类别2 严重眼损伤/眼刺激,类别2A 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,100
738,氟代甲苯,,fluorotoluenes,25496-08-6,"易燃液体,类别2",,100
739,氟锆酸钾,氟化锆钾,potassium fluorozirconate;yirconium potassium fluoride,16923-95-8,"急性毒性-经口,类别3 严重眼损伤/眼刺激,类别1",,100
740,氟硅酸,硅氟酸,fluorosilicicacid;hexafluorosilicic acid,16961-83-4,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,101
741,氟硅酸铵,,ammonium fluorosilicate,1309-32-6,"急性毒性-经口,类别3 急性毒性-经皮,类别3 急性毒性-吸入,类别3",,101
742,氟硅酸钾,,potassium fluorosilicates,16871-90-2,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3*",,101
743,氟硅酸钠,,sodium fluorosilicates,16893-85-9,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3*",,101
744,氟化铵,,ammonium fluoride,12125-01-8,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3*",,101
745,氟化钡,,barium fluoride,7787-32-8,"急性毒性-经口,类别3 严重眼损伤/眼刺激,类别2 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1",,101
746,氟化锆,,zirconium fluoride,7783-64-4,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,101
747,氟化镉,,cadmium fluoride,7790-79-6,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 生殖细胞致突变性,类别1B 致癌性,类别1A 生殖毒性,类别1B 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,101
748,氟化铬,三氟化铬,"chromic fluoride,solid;chromium trifluoride",7788-97-8,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,102
749,氟化汞,二氟化汞,mercuric fluoride;mercury difluoride,7783-39-3,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,102
750,氟化钴,三氟化钴,cobaltic fluoride;cobalt trifluoride,10026-18-3,"致癌性,类别2",,102
751,氟化钾,,potassium fluoride,7789-23-3,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3* 危害水生环境-急性危害,类别2",,102
752,氟化镧,三氟化镧,lanthanum fluoride;lanthanum trifluoride,13709-38-1,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2",,102
